standard_id,component_id,description,source
6ba1905b-d7cc-11e8-824f-0242ac160002,14047f66-56ba-59f0-b582-2af921aab0e6,Represent a multiple of a/b as a multiple of 1/b,lc_existing
6ba1905b-d7cc-11e8-824f-0242ac160002,4671de27-b1dd-5e8a-a985-0b1e2e42082d,Use an understanding of a/b as a multiple of 1/b to multiply a fraction by a whole number,lc_existing
6b9d8424-d7cc-11e8-824f-0242ac160002,07f4ca9a-f0ef-53e5-a387-4b5d049185a1,Describe a sequence of transformations that exhibits congruence between two given congruent figures,lc_existing
6b9d8424-d7cc-11e8-824f-0242ac160002,f56c2e0b-ff61-55b2-8eac-4b069a784d31,"Understand that a two-dimensional figure is congruent to another if the second can be obtained from the first by a sequence of rotations, reflections, and translations",lc_existing
6b9e7a98-d7cc-11e8-824f-0242ac160002,0396ab7c-b6e4-5fc1-b098-ec364e56f022,Find the conjugate of a complex number,lc_existing
6b9e7a98-d7cc-11e8-824f-0242ac160002,68bf454a-c926-5337-af32-8c0a4d993320,Use the conjugate of a complex number to find its modulus,lc_existing
6b9e7a98-d7cc-11e8-824f-0242ac160002,b6582c34-bfdd-5028-8ff9-a31d50b19ce5,Find the quotient of two complex numbers by using their conjugates,lc_existing
6b9f8f43-d7cc-11e8-824f-0242ac160002,0c5dbe5b-eb42-5e3f-a345-2c1982961790,Prove the elimination method of solving systems of equations,lc_existing
6b9f8f43-d7cc-11e8-824f-0242ac160002,1eba2459-09b5-5633-b32b-db28212d846b,Prove the substitution method of solving systems of equations,lc_existing
6ba22e04-d7cc-11e8-824f-0242ac160002,88b14085-880b-52a9-8914-e6b8c8a8e077,Use a simulation to generate frequencies for compound events,lc_existing
6ba22e04-d7cc-11e8-824f-0242ac160002,eefa37d0-e3d7-53cd-9e91-f877889b7db0,Design a simulation to generate frequencies for compound events,lc_existing
6b9e34fb-d7cc-11e8-824f-0242ac160002,b9d27304-5ca2-57b9-968d-e5c946985513,Convert between forms of writing decimals to the thousandths,lc_existing
6b9bfea2-d7cc-11e8-824f-0242ac160002,10e69fc1-7f7a-56a5-b13d-8d8bab6e5674,Draw rays and identify them in two-dimensional figures,lc_existing
6b9bfea2-d7cc-11e8-824f-0242ac160002,1f95ef88-6b5b-5b50-acab-79a69f51f872,Identify lines in two-dimensional figures,lc_existing
6b9bfea2-d7cc-11e8-824f-0242ac160002,27812e5c-a04d-549c-8341-4ab7bccdb688,"Draw angles (right, acute, obtuse) and identify them in two-dimensional figures",lc_existing
6b9bfea2-d7cc-11e8-824f-0242ac160002,2f646a05-2fae-5a36-962a-94bc9453ad83,Draw line segments and identify them in two-dimensional figures,lc_existing
6b9bfea2-d7cc-11e8-824f-0242ac160002,3a80eead-6bf5-522c-a824-9570862ece16,Identify parallel lines in two-dimensional figures,lc_existing
6b9bfea2-d7cc-11e8-824f-0242ac160002,559a6e78-4316-5d90-95de-004872285c49,Draw points and identify them in two-dimensional figures,lc_existing
6b9bfea2-d7cc-11e8-824f-0242ac160002,70453a52-6c2e-5f51-8360-d7176bee3ff5,Draw parallel and perpendicular lines and identify them in two-dimensional figures,lc_existing
6b9bfea2-d7cc-11e8-824f-0242ac160002,ba8dce38-25fb-5155-b5df-d4084be22ba8,Identify perpendicular lines in two-dimensional figures,lc_existing
6b9bfea2-d7cc-11e8-824f-0242ac160002,c69a41b7-0f98-5837-8a08-bc749f9e0a26,"Identify right, acute, and obtuse angles in two-dimensional figures",lc_existing
6b9bfea2-d7cc-11e8-824f-0242ac160002,d6ead46a-e7cd-5534-ae61-3badfc31fa26,Draw lines and identify them in two-dimensional figures,lc_existing
6b9e8364-d7cc-11e8-824f-0242ac160002,3a925711-3572-5ea7-93c7-3b5ca7ce0e5d,Use the Multiplication Principle to decide if two events are independent and to calculate conditional probabilities,lc_existing
6b9e8364-d7cc-11e8-824f-0242ac160002,91be6280-69b5-5005-aceb-21de46856e86,Define and understand conditional probabilities,lc_existing
6ba16606-d7cc-11e8-824f-0242ac160002,52099373-73ba-51af-86c0-c3fa57c49dec,Demonstrate that exponential functions grow by equal factors over equal intervals,lc_existing
6ba16606-d7cc-11e8-824f-0242ac160002,7f73d67f-1970-5831-9fb9-c7324f552413,Demonstrate that linear functions grow by equal differences over equal intervals,lc_existing
6b9f97c6-d7cc-11e8-824f-0242ac160002,34fbe045-f7dc-5086-9079-2d35e254c9fe,Interpret the parameters in a exponential function in terms of a context,lc_existing
6b9f97c6-d7cc-11e8-824f-0242ac160002,78be5909-caa1-57b4-863b-b8424dbad63b,Interpret the parameters in a linear function in terms of a context,lc_existing
6b9c9637-d7cc-11e8-824f-0242ac160002,4ae29496-ad30-54cb-8b3d-0c5472c7d2f9,Count to 100 by tens,lc_existing
6b9c9637-d7cc-11e8-824f-0242ac160002,555df2b6-7a87-5114-8ba5-398a82a7f6e3,Count to 100 by ones,lc_existing
6b9c9637-d7cc-11e8-824f-0242ac160002,67200ac5-9ecb-5f5d-975c-a343ea14082b,Count to 10 by ones,lc_existing
6b9ff914-d7cc-11e8-824f-0242ac160002,22098a76-50b2-5d73-8c84-6c8a436a8aa0,Determine the surface area of three-dimensional prisms in mathematical problems,lc_existing
6b9ff914-d7cc-11e8-824f-0242ac160002,370f42c5-303d-5239-acb6-262fef986998,Determine the area of two-dimensional figures composed of various polygons in mathematical problems,lc_existing
6b9ff914-d7cc-11e8-824f-0242ac160002,3bc46cc4-1dd7-546f-9ffd-138b27d535d1,Determine the area of two-dimensional figures composed of various polygons in real-world problems,lc_existing
6b9ff914-d7cc-11e8-824f-0242ac160002,414ec184-bad9-54a7-a34f-a77dfdf9c0f9,Determine the volume of three-dimensional objects composed of cubes and right prisms in real-world problems,lc_existing
6b9ff914-d7cc-11e8-824f-0242ac160002,8b731d33-c19b-5567-909c-26ea35d247d1,Determine the surface area of three-dimensional prisms in real-world problems,lc_existing
6b9ff914-d7cc-11e8-824f-0242ac160002,c9233a4b-7017-5a51-964b-5d6377c07a31,Determine the volume of three-dimensional objects composed of cubes and right prisms in mathematical problems,lc_existing
6ba237aa-d7cc-11e8-824f-0242ac160002,b1b23bda-9699-55f0-943b-e10052fbc0c3,"Use properties of exponents to write an equivalent form of an exponential function, including expressions with rational coefficients in the exponents",lc_existing
6ba237aa-d7cc-11e8-824f-0242ac160002,e9caada8-124e-5265-91c5-b8d2f7571230,Use properties of exponents to write an equivalent form of an exponential function,lc_existing
6ba237aa-d7cc-11e8-824f-0242ac160002,edec9d04-be62-5087-ae21-2002b7765473,Use properties of exponents to write an equivalent form of an exponential expression,lc_existing
